"sample","epoch_ms","active","idle","idle_tx","total"
"1","1789335730475","0","6","4","10"
"2","1789335731892","0","2","8","10"
"3","1789335733312","0","1","9","10"
"4","1789335734737","0","4","6","10"
"5","1789335736024","0","5","5","10"
"6","1789335737403","0","3","7","10"
"7","1789335738827","0","4","6","10"
"8","1789335740218","0","3","7","10"
"9","1789335741639","2","0","8","10"
"10","1789335743033","1","1","8","10"
"11","1789335744449","0","6","4","10"
"12","1789335745931","0","5","5","10"
"13","1789335747344","0","3","7","10"
"14","1789335748764","2","1","7","10"
"15","1789335750155","0","2","8","10"
"16","1789335751585","4","1","5","10"
"17","1789335752982","0","5","5","10"
"18","1789335754438","0","2","8","10"
"19","1789335755926","0","5","5","10"
"20","1789335757483","0","2","8","10"
"21","1789335758937","1","4","5","10"
"22","1789335760410","1","3","6","10"
"23","1789335761813","1","4","5","10"
"24","1789335763273","1","4","5","10"
"25","1789335764698","0","4","6","10"
"26","1789335766169","1","3","6","10"
"27","1789335767638","0","5","5","10"
"28","1789335769013","0","6","4","10"
"29","1789335770562","2","2","6","10"
"30","1789335771846","1","2","7","10"
"31","1789335773284","0","3","7","10"
"32","1789335774727","0","4","6","10"
"33","1789335776099","2","4","4","10"
"34","1789335777537","2","2","6","10"
"35","1789335779011","2","1","7","10"
"36","1789335780399","2","4","4","10"
"37","1789335781828","0","5","5","10"
"38","1789335783309","1","7","2","10"
"39","1789335784716","0","4","6","10"
"40","1789335786148","0","3","7","10"
"41","1789335787614","1","3","6","10"
"42","1789335788878","1","3","6","10"
"43","1789335790335","0","3","7","10"
"44","1789335791790","3","5","2","10"
"45","1789335793182","0","10","0","10"
