"sample","epoch_ms","state","wait_event_type","wait_event","connections"
"1","1789336744198","idle","Client","ClientRead","3"
"1","1789336744198","idle in transaction","Client","ClientRead","7"
"2","1789336745378","idle","Client","ClientRead","4"
"2","1789336745378","idle in transaction","Client","ClientRead","6"
"3","1789336746468","idle","Client","ClientRead","5"
"3","1789336746468","idle in transaction","Client","ClientRead","5"
"4","1789336747661","idle","Client","ClientRead","4"
"4","1789336747661","idle in transaction","Client","ClientRead","6"
"5","1789336748814","active","-","-","1"
"5","1789336748814","idle","Client","ClientRead","3"
"5","1789336748814","idle in transaction","Client","ClientRead","6"
"6","1789336749945","idle","Client","ClientRead","3"
"6","1789336749945","idle in transaction","Client","ClientRead","7"
"7","1789336751119","idle","Client","ClientRead","4"
"7","1789336751119","idle in transaction","Client","ClientRead","6"
"8","1789336752298","idle","Client","ClientRead","4"
"8","1789336752298","idle in transaction","Client","ClientRead","6"
"9","1789336753519","idle","Client","ClientRead","3"
"9","1789336753519","idle in transaction","Client","ClientRead","7"
"10","1789336754727","idle","Client","ClientRead","3"
"10","1789336754727","idle in transaction","Client","ClientRead","7"
"11","1789336755767","active","-","-","1"
"11","1789336755767","idle","Client","ClientRead","5"
"11","1789336755767","idle in transaction","Client","ClientRead","4"
"12","1789336756980","idle","Client","ClientRead","3"
"12","1789336756980","idle in transaction","Client","ClientRead","7"
"13","1789336758138","idle","Client","ClientRead","1"
"13","1789336758138","idle in transaction","Client","ClientRead","9"
"14","1789336759321","idle","Client","ClientRead","3"
"14","1789336759321","idle in transaction","Client","ClientRead","7"
"15","1789336760473","active","-","-","1"
"15","1789336760473","idle","Client","ClientRead","4"
"15","1789336760473","idle in transaction","Client","ClientRead","5"
"16","1789336761521","active","-","-","2"
"16","1789336761521","idle","Client","ClientRead","3"
"16","1789336761521","idle in transaction","Client","ClientRead","5"
"17","1789336762690","idle","Client","ClientRead","4"
"17","1789336762690","idle in transaction","Client","ClientRead","6"
"18","1789336763811","active","-","-","1"
"18","1789336763811","idle","Client","ClientRead","4"
"18","1789336763811","idle in transaction","Client","ClientRead","5"
"19","1789336764977","idle","Client","ClientRead","3"
"19","1789336764977","idle in transaction","Client","ClientRead","7"
"20","1789336766107","active","-","-","2"
"20","1789336766107","idle","Client","ClientRead","2"
"20","1789336766107","idle in transaction","Client","ClientRead","6"
"21","1789336767236","active","-","-","1"
"21","1789336767236","idle","Client","ClientRead","4"
"21","1789336767236","idle in transaction","Client","ClientRead","5"
"22","1789336768284","idle","Client","ClientRead","4"
"22","1789336768284","idle in transaction","Client","ClientRead","6"
"23","1789336769420","active","-","-","1"
"23","1789336769420","idle","Client","ClientRead","4"
"23","1789336769420","idle in transaction","Client","ClientRead","5"
"24","1789336770601","idle","Client","ClientRead","4"
"24","1789336770601","idle in transaction","Client","ClientRead","6"
"25","1789336771744","active","-","-","1"
"25","1789336771744","idle","Client","ClientRead","2"
"25","1789336771744","idle in transaction","Client","ClientRead","7"
"26","1789336772921","idle","Client","ClientRead","3"
"26","1789336772921","idle in transaction","Client","ClientRead","7"
"27","1789336774117","idle","Client","ClientRead","4"
